"clave","RFC","Numero","Fecha","Cantidad"
1000,AAAA800101,5000,1998-08-07,165
1010,BBBB800101,5001,2000-03-05,528
1020,CCCC800101,5002,2003-05-07,582
1030,DDDD800101,5003,1999-09-02,202
1040,EEEE800101,5004,1999-12-11,263
1050,FFFF800101,5005,2000-10-14,503
1060,GGGG800101,5006,2000-04-05,324
1070,HHHH800101,5007,1999-11-02,2
1080,AAAA800101,5008,1999-12-01,86
1090,BBBB800101,5009,2000-01-08,73
1100,CCCC800101,5010,2001-10-09,699
1110,DDDD800101,5011,2005-04-06,368
1120,EEEE800101,5012,2001-03-04,215
1130,FFFF800101,5013,2002-04-04,63
1140,GGGG800101,5014,2001-12-07,219
1150,HHHH800101,5015,1999-04-03,458
1160,AAAA800101,5016,2000-01-06,162
1170,BBBB800101,5017,1998-04-02,180
1180,CCCC800101,5018,2003-02-06,407
1190,DDDD800101,5019,1998-12-09,94
1200,EEEE800101,5000,2000-05-03,177
1210,FFFF800101,5001,1999-05-11,43
1220,GGGG800101,5002,2003-01-02,24
1230,HHHH800101,5003,2003-06-01,530
1240,AAAA800101,5004,2003-12-01,152
1250,BBBB800101,5005,2002-08-07,71
1260,CCCC800101,5006,1999-10-05,460
1270,DDDD800101,5007,1999-10-03,506
1280,EEEE800101,5008,2004-05-07,107
1290,FFFF800101,5009,1998-08-01,132
1300,GGGG800101,5010,2003-08-01,119
1310,HHHH800101,5011,2002-12-04,72
1320,AAAA800101,5012,2003-06-01,698
1330,BBBB800101,5013,1998-12-10,554
1340,CCCC800101,5014,2002-02-12,324
1350,DDDD800101,5015,1999-09-05,272
1360,EEEE800101,5016,2000-07-11,364
1370,FFFF800101,5017,2000-12-02,44
1380,GGGG800101,5018,2002-03-03,302
1390,HHHH800101,5019,2003-12-01,107
1400,AAAA800101,5000,2002-12-03,382
1410,BBBB800101,5001,2000-05-02,601
1420,CCCC800101,5002,1998-07-04,603
1430,DDDD800101,5003,1999-02-09,576
1000,AAAA800101,5019,1999-08-08,254
1010,BBBB800101,5018,2004-05-03,523
1020,CCCC800101,5017,1999-04-02,8
1030,DDDD800101,5016,2000-05-11,295
1040,EEEE800101,5015,2002-12-07,540
1050,FFFF800101,5014,1999-07-03,623
1060,GGGG800101,5013,2000-02-01,692
1070,HHHH800101,5012,1999-03-12,503
1080,AAAA800101,5011,2002-07-11,699
1090,BBBB800101,5010,1998-03-01,421
1100,CCCC800101,5009,2000-06-08,466
1110,DDDD800101,5008,1999-10-05,337
1120,EEEE800101,5007,2001-07-07,692
1130,FFFF800101,5006,2002-06-07,562
1140,GGGG800101,5005,2001-02-09,583
1150,HHHH800101,5004,2001-10-08,453
1160,AAAA800101,5019,1999-09-06,244
1170,BBBB800101,5018,1999-11-12,53
1180,CCCC800101,5017,2001-03-03,334
1190,DDDD800101,5016,2000-04-02,356
1200,EEEE800101,5015,2000-06-05,585
1210,FFFF800101,5014,2001-03-11,70
1220,GGGG800101,5013,2002-04-07,658
1230,HHHH800101,5012,2002-09-12,312
1240,AAAA800101,5011,2000-12-08,366
1250,BBBB800101,5010,2002-04-04,691
1260,CCCC800101,5009,1999-09-08,631
1270,DDDD800101,5008,1997-03-09,546
1280,EEEE800101,5007,2000-03-02,331
1290,FFFF800101,5006,2001-08-02,279
1300,GGGG800101,5005,2002-10-06,521
1310,HHHH800101,5019,2002-02-10,199
1320,AAAA800101,5018,2000-07-03,413
1330,BBBB800101,5017,2000-11-08,93
1340,CCCC800101,5016,1998-06-11,674
1350,DDDD800101,5015,1999-02-08,261
1360,EEEE800101,5014,2002-07-04,265
1370,FFFF800101,5013,2000-08-04,575
1380,GGGG800101,5012,1998-08-07,645
1390,HHHH800101,5011,2001-08-11,697
1400,AAAA800101,5010,1998-05-06,116
1410,BBBB800101,5009,2002-03-05,467
1420,CCCC800101,5008,2000-02-08,278
1430,DDDD800101,5007,1998-09-01,13
1000,AAAA800101,5019,2000-06-04,7
1010,BBBB800101,5018,2000-11-10,667
1020,CCCC800101,5017,2001-04-05,478
1030,DDDD800101,5016,1998-09-04,139
1040,EEEE800101,5015,2000-10-06,546
1050,FFFF800101,5014,1999-04-06,90
1060,GGGG800101,5013,2000-10-07,47
1070,HHHH800101,5012,2000-01-04,516
1080,AAAA800101,5011,2003-01-06,429
1090,BBBB800101,5010,1998-06-06,612
1100,CCCC800101,5009,2002-07-05,523
1110,DDDD800101,5008,2000-09-02,292
1120,EEEE800101,5007,1998-12-03,167
1130,FFFF800101,5006,1999-06-05,673
